"","Quarter","Gini","Log_SD","Log_Diff"
"1","1974Q1",0.311108220400831,0.625906113015585,1.74523945359316
"2","1974Q2",0.309928950683452,0.626908793310324,1.63314694157527
"3","1974Q3",0.300507331654047,0.594083248294486,1.55059741241117
"4","1974Q4",0.299109901812282,0.584722021346309,1.54044504094715
"5","1975Q1",0.306897177271771,0.598799501582835,1.59330761247251
"6","1975Q2",0.301637955580314,0.58838082388471,1.56814502472208
"7","1975Q3",0.305682824176541,0.589265043267801,1.54020538323397
"8","1975Q4",0.297731593712775,0.56890757885811,1.47098273051052
"9","1976Q1",0.305434163648344,0.577501745963896,1.54311526950303
"10","1976Q2",0.304224510830441,0.581677982142574,1.51639827572599
"11","1976Q3",0.30540368938247,0.590080017878476,1.54779374932289
"12","1976Q4",0.306637972102148,0.587948980232965,1.55075441060601
"13","1977Q1",0.303240981661345,0.58122821920571,1.50730841735772
"14","1977Q2",0.307029547774185,0.581630101023781,1.51618826942084
"15","1977Q3",0.28706389030017,0.547628064584839,1.43451504914576
"16","1977Q4",0.272690088184378,0.511599658895966,1.34155672690786
"17","1978Q1",0.272465913689109,0.502280391188787,1.33181072451851
"18","1978Q2",0.259972168333432,0.50403212285373,1.32922241507608
"19","1978Q3",0.269375401767312,0.513367306330162,1.33020361036135
"20","1978Q4",0.297837805002918,0.589737547478148,1.54121930332057
"21","1979Q1",0.308569980951816,0.608005256367507,1.63175511414934
"22","1979Q2",0.309353790543777,0.606418218550598,1.61923821703239
"23","1979Q3",0.321949038862045,0.641994799044013,1.72118705521755
"24","1979Q4",0.313242451766164,0.61776602080127,1.64406042993155
"25","1980Q1",0.308223614762166,0.602424199652076,1.61706610099522
"26","1980Q2",0.330103009130671,0.629324195115447,1.66513752529163
"27","1980Q3",0.33166410230474,0.65146483123319,1.71858748085055
"28","1980Q4",0.321527617364754,0.621968135738201,1.65315367075352
"29","1981Q1",0.321920774100815,0.619759408419551,1.64910316882653
"30","1981Q2",0.315841240856766,0.602713563627139,1.58938058531256
"31","1981Q3",0.317990216098563,0.597409454842202,1.55875660548608
"32","1981Q4",0.307521758878605,0.590000840730105,1.5672843592041
"33","1982Q1",0.312023216388421,0.583417705438528,1.51282494287026
"34","1982Q2",0.322403505499636,0.610154402225872,1.61542081326483
"35","1982Q3",0.29959385672247,0.560043044662752,1.41639239227717
"36","1982Q4",0.300453087023769,0.569641754731631,1.49438276425964
"37","1983Q1",0.32181693004283,0.598873693221229,1.63566877233616
"38","1983Q2",0.32332238466184,0.611013754620615,1.67432404202628
"39","1983Q3",0.335016640964978,0.623664825484292,1.70513708111058
"40","1983Q4",0.321778967074078,0.605756598240998,1.65436520772245
"41","1984Q1",0.320370568841406,0.607656703599806,1.67292166062675
"42","1984Q2",0.322929052222409,0.625079980060382,1.75286641744501
